"date","geography","geography code","Rural Urban","Ethnic Group: All usual residents; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed/multiple ethnic groups; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic groups: Other Mixed; measures: Value","Ethnic Group: Asian/Asian British; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black/African/Caribbean/Black British; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other ethnic group; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"2011","St. Helens","E08000013","Total",175308,171877,169346,887,69,1575,1179,445,167,271,296,1764,504,133,122,512,493,248,152,60,36,240,117,123
"2011","Wirral","E08000015","Total",319783,310156,303682,2667,77,3730,3286,964,558,949,815,5116,1344,226,851,1653,1042,695,389,189,117,530,208,322
"2011","East Riding of Yorkshire","E06000011","Total",334179,327789,321309,908,227,5345,2301,683,367,785,466,2961,1081,396,69,660,755,598,355,175,68,530,289,241
"2011","Kingston upon Hull, City of","E06000010","Total",256406,241321,229920,550,284,10567,3454,871,821,945,817,6471,1086,882,755,2124,1624,2996,2472,236,288,2164,1134,1030
"2011","North East Lincolnshire","E06000012","Total",159616,155421,152240,414,26,2741,1186,381,161,369,275,2129,513,195,268,605,548,411,306,71,34,469,265,204
"2011","North Lincolnshire","E06000013","Total",167446,160748,154526,727,90,5405,1244,341,166,451,286,4549,1122,862,1443,530,592,494,365,64,65,411,173,238
"2011","York","E06000014","Total",198051,186731,178613,1103,269,6746,2413,529,305,873,706,6740,1531,417,370,2449,1973,1194,903,205,86,973,498,475
"2011","North Yorkshire","E10000023","Total",598376,582475,565055,2381,588,14451,5043,1315,662,1821,1245,7356,1631,894,275,1733,2823,2424,1428,372,624,1078,357,721
"2011","Barnsley","E08000016","Total",231221,226285,222164,567,163,3391,1630,644,178,434,374,1661,442,211,60,440,508,1221,995,149,77,424,168,256
"2011","Doncaster","E08000017","Total",302402,288066,277740,1183,587,8556,3321,1413,440,877,591,7614,1865,2728,117,1121,1783,2337,1309,778,250,1064,231,833
"2011","Rotherham","E08000018","Total",257280,240758,236438,776,126,3418,2551,787,301,865,598,10551,961,7609,109,592,1280,2112,1672,283,157,1308,581,727
"2011","Sheffield","E08000019","Total",552698,462544,446837,2891,358,12458,13289,5450,1296,3490,3053,44385,5868,21990,3326,7398,5803,20082,11543,5506,3033,12398,8432,3966
"2011","Bradford","E08000032","Total",522452,352317,333628,2541,433,15715,12979,4663,875,5677,1764,140149,13555,106614,9863,2086,8031,9267,4993,3581,693,7740,3714,4026
"2011","Calderdale","E08000033","Total",203826,182787,176732,1795,80,4180,2797,1097,247,907,546,16875,1130,13904,574,459,808,899,479,320,100,468,111,357
"2011","Kirklees","E08000034","Total",422458,334270,323890,2635,158,7587,9790,5167,641,2714,1268,67782,20797,41802,731,1452,3000,7905,2364,4626,915,2711,1214,1497
"2011","Leeds","E08000035","Total",751485,639487,609714,7031,687,22055,19632,8813,2493,4906,3420,58243,16130,22492,4432,5933,9256,25893,14894,6728,4271,8230,3791,4439
"2011","Wakefield","E08000036","Total",325837,310957,302331,908,302,7416,2928,1087,368,894,579,8498,1540,4896,32,853,1177,2512,1955,326,231,942,382,560
"2011","Derby","E06000015","Total",248752,199751,187386,2319,295,9751,7232,3916,533,1772,1011,31095,10907,14620,658,1292,3618,7320,3156,3405,759,3354,861,2493
"2011","Leicester","E06000016","Total",329839,166636,148629,2524,417,15066,11580,4691,1161,3388,2340,122470,93335,8067,3642,4245,13181,20585,12480,4790,3315,8568,3311,5257
"2011","Nottingham","E06000018","Total",305680,218698,199990,2819,326,15563,20265,12166,2004,3304,2791,40039,9901,16771,1049,5988,6330,22185,9877,9382,2926,4493,2372,2121
"2011","Rutland","E06000017","Total",37369,36301,35241,217,58,785,389,123,23,141,102,365,113,38,7,125,82,251,116,107,28,63,5,58
"2011","Derbyshire","E10000007","Total",769686,750094,737034,3154,311,9595,7119,3173,678,2053,1215,8795,4132,979,229,1727,1728,2770,1303,1153,314,908,251,657
"2011","Leicestershire","E10000018","Total",650489,594767,578432,3528,411,12396,8551,3024,714,3262,1551,40777,28598,2099,2313,3502,4265,3787,1990,1379,418,2607,866,1741
"2011","Lincolnshire","E10000019","Total",713653,696484,663741,3278,617,28848,6190,2073,815,1798,1504,7316,2474,584,496,1737,2025,2561,1540,661,360,1102,420,682
"2011","Northamptonshire","E10000021","Total",691952,632822,592755,6704,527,32836,14182,6064,1925,3251,2942,25427,12264,2312,4264,2846,3741,16923,9552,5254,2117,2598,845,1753
"2011","Nottinghamshire","E10000024","Total",785802,750803,727938,4133,456,18276,10716,5174,961,2719,1862,17139,7204,3470,600,2942,2923,5102,1754,2782,566,2042,815,1227
"2011","Herefordshire, County of","E06000019","Total",183477,180169,171922,709,363,7175,1270,407,146,415,302,1439,490,80,32,277,560,331,160,103,68,268,105,163
"2011","Shropshire","E06000051","Total",306129,299874,292047,1410,312,6105,2168,765,231,669,503,3089,752,216,208,1020,893,580,302,164,114,418,179,239
"2011","Stoke-on-Trent","E06000021","Total",249008,220712,215222,636,183,4671,4491,1892,559,1347,693,18442,2329,10429,1097,1224,3363,3741,2536,834,371,1622,408,1214
"2011","Telford and Wrekin","E06000020","Total",166641,154415,149096,729,166,4424,2983,1423,278,799,483,6991,3076,2243,162,647,863,1779,1023,607,149,473,86,387
"2011","Staffordshire","E10000028","Total",848489,811615,793809,3853,433,13520,9604,4572,675,2708,1649,20656,6452,7023,651,2726,3804,4810,1735,2446,629,1804,569,1235
"2011","Warwickshire","E10000031","Total",545474,505688,482607,5216,494,17371,7949,3090,698,2606,1555,25096,16435,1728,284,2349,4300,4443,2173,1733,537,2298,467,1831
"2011","Birmingham","E08000025","Total",1073045,621636,570217,22021,408,28990,47605,24720,3223,11186,8476,285640,64621,144627,32532,12712,31148,96360,29991,47641,18728,21804,10910,10894
"2011","Coventry","E08000026","Total",316960,234029,211188,7305,151,15385,8230,3672,943,2388,1227,51598,27751,9510,2951,3728,7658,17764,12836,3317,1611,5339,2020,3319
"2011","Dudley","E08000027","Total",312925,281607,277050,1170,352,3035,5758,3477,250,1277,754,18942,5737,10339,397,876,1593,4671,1402,2658,611,1947,1259,688
"2011","Sandwell","E08000028","Total",308063,215471,202822,2045,141,10463,10199,6163,515,2043,1478,59258,31400,13952,6588,839,6479,18357,4396,11382,2579,4778,901,3877
"2011","Solihull","E08000029","Total",206674,184244,177248,3935,70,2991,4404,2395,247,1156,606,13561,7098,3413,633,906,1511,3239,852,1930,457,1226,358,868
"2011","Walsall","E08000030","Total",269323,212469,207238,1181,287,3763,7224,4312,321,1754,837,41022,16502,14289,5194,993,4044,6369,1999,3197,1173,2239,222,2017
"2011","Wolverhampton","E08000031","Total",249470,169682,160945,1526,209,7002,12784,8495,554,2160,1575,44960,32162,4415,432,1376,6575,17309,4081,9507,3721,4735,359,4376
"2011","Worcestershire","E10000034","Total",566169,542058,522922,3480,1165,14491,7045,3150,592,2053,1250,13741,3634,4984,1316,1601,2206,2372,767,1275,330,953,236,717
"2011","Bedford","E06000055","Total",157479,126846,112588,1683,115,12460,5386,2396,587,1366,1037,17932,8122,3270,3225,905,2410,6202,2741,2843,618,1113,331,782
"2011","Central Bedfordshire","E06000056","Total",254381,238722,228053,3149,478,7042,4789,1787,522,1474,1006,6402,2533,442,214,1404,1809,3614,2054,1230,330,854,357,497
"2011","Luton","E06000032","Total",203201,111079,90530,6126,198,14225,8281,3831,915,1805,1730,60952,10625,29353,13606,1497,5871,19909,9169,8177,2563,2980,1646,1334
"2011","Peterborough","E06000031","Total",183631,151544,130232,1257,560,19495,4948,1542,827,1384,1195,21492,4636,12078,229,872,3677,4164,2480,1174,510,1483,428,1055
"2011","Southend-on-Sea","E06000033","Total",173658,159023,151136,1496,162,6229,3651,1039,741,977,894,6440,1810,1059,933,1084,1554,3647,2728,524,395,897,297,600
"2011","Thurrock","E06000034","Total",157705,135429,127587,1108,308,6426,3099,1056,670,683,690,5927,2234,534,682,828,1649,12323,9742,1336,1245,927,254,673
"2011","Cambridgeshire","E10000003","Total",621210,574987,524617,4908,1508,43954,11081,2510,1385,3895,3291,25638,7430,2373,2562,6723,6550,6010,3426,1647,937,3494,1370,2124
"2011","Essex","E10000012","Total",1393587,1313856,1264877,11165,2161,35653,20885,6936,2801,6173,4975,34860,12456,3462,2747,6361,9834,18709,12143,4556,2010,5277,2042,3235
"2011","Hertfordshire","E10000015","Total",1116062,977495,902006,17260,1149,57080,27497,8899,3250,8703,6645,72581,28848,12302,5608,8462,17361,31401,19722,8713,2966,7088,2359,4729
"2011","Norfolk","E10000020","Total",857888,828018,793086,3677,922,30333,10027,2493,1905,2979,2650,13017,4043,700,933,3208,4133,4609,3096,905,608,2217,963,1254
"2011","Suffolk","E10000029","Total",728163,693195,661458,3744,604,27389,12472,4733,1785,2787,3167,13131,3999,697,2253,2159,4023,6854,2624,2509,1721,2511,320,2191
"2011","Camden","E09000007","Total",220338,146055,96937,7053,167,41898,12322,2494,1800,3880,4148,35446,6083,1489,12503,6493,8878,18060,10802,3496,3762,8455,3432,5023
"2011","City of London","E09000001","Total",7375,5799,4243,180,3,1373,289,38,37,111,103,940,216,16,232,263,213,193,98,46,49,154,69,85
"2011","Hackney","E09000012","Total",246270,134617,89030,5216,474,39897,15869,4989,2866,3020,4994,25867,7599,1905,6180,3436,6747,56858,27976,19168,9714,13059,1721,11338
"2011","Hammersmith and Fulham","E09000013","Total",182493,124222,81989,6321,217,35695,10044,2769,1495,2649,3131,16635,3451,1612,1056,3140,7376,21505,10552,7111,3842,10087,5228,4859
"2011","Haringey","E09000014","Total",254926,154343,88424,6997,370,58552,16548,4856,2609,3738,5345,24150,5945,1920,4417,3744,8124,47830,23037,18087,6706,12055,2229,9826
"2011","Islington","E09000019","Total",206125,140515,98322,8140,163,33890,13339,4236,1912,2964,4227,19034,3534,951,4662,4457,5430,26294,12622,7943,5729,6943,1893,5050
"2011","Kensington and Chelsea","E09000020","Total",158649,112017,62271,3715,119,45912,8986,1695,1148,3021,3122,15861,2577,911,836,3968,7569,10333,5536,3257,1540,11452,6455,4997
"2011","Lambeth","E09000022","Total",303086,173025,118250,7456,195,47124,23160,8302,4301,3574,6983,20938,4983,3072,2221,4573,6089,78542,35187,28886,14469,7421,1728,5693
"2011","Lewisham","E09000023","Total",275885,147686,114446,5206,208,27826,20472,8539,3559,3045,5329,25534,4600,1596,1388,6164,11786,74942,32025,30854,12063,7251,1456,5795
"2011","Newham","E09000025","Total",307984,89216,51516,2172,462,35066,13945,3957,3319,2677,3992,133895,42484,30307,37262,3930,19912,60256,37811,15050,7395,10672,3523,7149
"2011","Southwark","E09000028","Total",288283,156349,114534,6222,263,35330,17778,5677,3687,3003,5411,27192,5819,1623,3912,8074,7764,77511,47413,17974,12124,9453,2440,7013
"2011","Tower Hamlets","E09000030","Total",254096,114819,79231,3863,175,31550,10360,2837,1509,2961,3053,104501,6787,2442,81377,8109,5786,18629,9495,5341,3793,5787,2573,3214
"2011","Wandsworth","E09000032","Total",306995,219216,163739,7664,163,47650,15241,4642,2034,3887,4678,33338,8642,9718,1493,3715,9770,32756,14818,12297,5641,6444,2350,4094
"2011","Westminster","E09000033","Total",219396,135330,77334,4960,76,52960,11395,1869,1927,3584,4015,31862,7213,2328,6299,5917,10105,16472,9141,4449,2882,24337,15724,8613
"2011","Barking and Dagenham","E09000002","Total",185911,108386,91949,1730,182,14525,7878,2669,2128,1246,1835,29594,7436,8007,7701,1315,5135,37140,28685,5227,3228,2913,973,1940
"2011","Barnet","E09000003","Total",356386,228553,162117,8685,151,57600,17169,3097,3112,5882,5078,65918,27920,5344,2215,8259,22180,27431,19392,4468,3571,17315,5210,12105
"2011","Bexley","E09000004","Total",231997,189962,179250,2596,624,7492,5395,1676,983,1369,1367,15243,7047,730,777,2514,4175,19624,15952,2381,1291,1773,303,1470
"2011","Brent","E09000005","Total",311215,112880,55887,12320,320,44353,15775,4291,2820,3642,5022,105986,58017,14381,1749,3250,28589,58632,24391,23723,10518,17942,11430,6512
"2011","Bromley","E09000006","Total",309392,260870,239478,4463,580,16349,10897,3897,1335,3016,2649,16067,6215,1014,1265,2768,4805,18686,9819,6609,2258,2872,870,2002
"2011","Croydon","E09000008","Total",363378,200195,171740,5369,234,22852,23895,9650,3279,5140,5826,59627,24660,10865,2570,3925,17607,73256,28981,31320,12955,6405,1701,4704
"2011","Ealing","E09000009","Total",338449,165818,103035,10428,300,52055,15066,3939,1989,4653,4485,100439,48240,14711,1786,4132,31570,36860,17299,13192,6369,20266,9804,10462
"2011","Enfield","E09000010","Total",312466,190640,126450,6899,344,56947,17183,4852,2384,4189,5758,34893,11648,2594,5599,2588,12464,53687,28222,17334,8131,16063,1930,14133
"2011","Greenwich","E09000011","Total",254557,159002,133130,4291,430,21151,12274,4011,2699,2361,3203,29894,7836,2594,1645,5061,12758,48655,35164,8051,5440,4732,1069,3663
"2011","Harrow","E09000015","Total",239056,100991,73826,7336,181,19648,9499,2344,1053,3417,2685,101808,63051,7797,1378,2629,26953,19708,8526,6812,4370,7050,3708,3342
"2011","Havering","E09000016","Total",237232,207949,197615,2989,160,7185,4933,1970,712,1154,1097,11545,5017,1492,975,1459,2602,11481,7581,2885,1015,1324,311,1013
"2011","Hillingdon","E09000017","Total",273936,166031,142916,5949,344,16822,10479,2719,1409,3602,2749,69253,36795,9200,2639,2889,17730,20082,11275,4615,4192,8091,2925,5166
"2011","Hounslow","E09000018","Total",253957,130505,96264,4775,183,29283,10349,2273,1730,3390,2956,87257,48161,13676,2189,2405,20826,16813,10787,3381,2645,9033,3638,5395
"2011","Kingston upon Thames","E09000021","Total",160060,119219,101015,2718,95,15391,6269,1238,700,2500,1831,26152,6325,3009,892,2883,13043,4021,2616,1027,378,4399,2439,1960
"2011","Merton","E09000024","Total",199693,129606,96658,4417,216,28315,9334,2579,1279,2829,2647,36143,8106,7337,2216,2618,15866,20811,10442,8126,2243,3799,1413,2386
"2011","Redbridge","E09000026","Total",278970,118646,96253,3900,140,18353,11456,3204,1692,3251,3309,116503,45660,31051,16011,3000,20781,24845,12357,9064,3424,7520,1551,5969
"2011","Richmond upon Thames","E09000027","Total",186990,160725,133582,4766,95,22282,6780,1250,731,2857,1942,13607,5202,1163,867,1753,4622,2816,1643,840,333,3062,1172,1890
"2011","Sutton","E09000029","Total",190146,149449,134854,3219,193,11183,7134,2298,838,2286,1712,22035,6454,2595,1183,2240,9563,9120,5471,2742,907,2408,976,1432
"2011","Waltham Forest","E09000031","Total",258249,134799,92999,3959,369,37472,13766,4568,2403,2602,4193,54389,9134,26347,4632,2579,11697,44791,18815,18841,7135,10504,3776,6728
"2011","Bracknell Forest","E06000036","Total",113205,102554,96080,984,118,5372,2303,656,297,808,542,5664,1989,518,134,556,2467,2189,1586,402,201,495,201,294
"2011","Brighton and Hove","E06000043","Total",273369,243512,220018,3772,198,19524,10408,2182,2019,3351,2856,11278,2996,649,1367,2999,3267,4188,2893,879,416,3983,2184,1799
"2011","Isle of Wight","E06000046","Total",138265,134545,131099,747,94,2605,1709,507,123,738,341,1514,435,80,131,219,649,303,141,115,47,194,52,142
"2011","Medway","E06000035","Total",263925,236579,225654,1946,510,8469,5176,1730,735,1546,1165,13615,7132,1516,1304,1065,2598,6663,4742,1428,493,1892,517,1375
"2011","Milton Keynes","E06000042","Total",248821,199094,183934,2498,72,12590,8235,2243,1597,2228,2167,22782,8106,3851,1989,2722,6114,17131,13058,2524,1549,1579,565,1014
"2011","Portsmouth","E06000044","Total",205056,181182,172313,1071,85,7713,5467,1103,935,2381,1048,12474,2911,539,3649,2611,2764,3777,2958,540,279,2156,1078,1078
"2011","Reading","E06000038","Total",155698,116387,101725,2269,90,12303,6180,2718,802,1428,1232,21161,6514,6967,695,1603,5382,10470,6087,3279,1104,1500,680,820
"2011","Slough","E06000039","Total",140205,64053,48401,1607,220,13825,4758,1667,607,1429,1055,55697,21922,24869,549,797,7560,12115,7548,3096,1471,3582,928,2654
"2011","Southampton","E06000045","Total",236882,203528,183980,1746,341,17461,5678,1678,941,1796,1263,19892,6742,3019,1401,3449,5281,5067,3508,1132,427,2717,1312,1405
"2011","West Berkshire","E06000037","Total",153822,145854,139044,1284,164,5362,2420,776,262,831,551,3808,1675,473,225,659,776,1376,701,514,161,364,139,225
"2011","Windsor and Maidenhead","E06000040","Total",144560,124505,112081,2055,219,10150,3315,679,358,1399,879,13848,5860,4238,393,1071,2286,1725,1039,473,213,1167,379,788
"2011","Wokingham","E06000041","Total",154380,136525,129119,1367,291,5748,3182,890,337,1273,682,11438,5331,2865,222,1203,1817,2093,1203,712,178,1142,500,642
"2011","Buckinghamshire","E10000002","Total",505283,436670,409793,5377,614,20886,12360,4573,1098,4125,2564,43269,11368,21236,1089,2554,7022,10490,4032,5175,1283,2494,853,1641
"2011","East Sussex","E10000011","Total",526671,505422,482769,3966,815,17872,7473,1947,1023,2584,1919,9143,2253,317,1042,1931,3600,2912,1800,771,341,1721,638,1083
"2011","Hampshire","E10000014","Total",1317788,1252123,1209405,7361,2069,33288,18051,4800,2340,6880,4031,35356,10731,1803,2143,5605,15074,8298,5090,2180,1028,3960,1262,2698
"2011","Kent","E10000016","Total",1463740,1371102,1303558,10239,4685,52620,22107,6266,2997,7520,5324,47614,18136,2406,3381,5978,17713,16216,11523,3293,1400,6701,1535,5166
"2011","Oxfordshire","E10000025","Total",653798,594004,546801,6291,623,40289,13233,3759,1557,4521,3396,31657,8140,7846,2491,5618,7562,11424,7039,3070,1315,3480,1358,2122
"2011","Surrey","E10000030","Total",1132390,1023682,945673,13012,2261,62736,23554,4920,2736,9657,6241,63498,20232,10818,3400,9461,19587,12430,7828,3303,1299,9226,4101,5125
"2011","West Sussex","E10000032","Total",806892,756499,717551,5979,1073,31896,12155,2886,2061,4269,2939,28334,9659,5236,2346,2960,8133,7146,4569,1339,1238,2758,1081,1677
"2011","Bath and North East Somerset","E06000022","Total",176016,166473,158640,1146,58,6629,2898,951,292,954,701,4577,1116,170,219,1912,1160,1326,499,672,155,742,375,367
"2011","Bournemouth","E06000028","Total",183491,168797,153752,1355,218,13472,4191,1043,601,1396,1151,7066,1940,213,408,1840,2665,1764,1208,380,176,1673,693,980
"2011","Bristol, City of","E06000023","Total",428234,359592,333432,3851,359,21950,15438,7389,1533,3402,3114,23655,6547,6863,2104,3886,4255,25734,12085,6727,6922,3815,1272,2543
"2011","Cornwall","E06000052","Total",532273,522848,509628,2046,635,10539,4400,1248,490,1553,1109,3434,837,107,280,1004,1206,762,292,368,102,829,189,640
"2011","Isles of Scilly","E06000053","Total",2203,2177,2087,10,0,80,18,3,3,9,3,2,0,0,0,0,2,2,1,1,0,4,0,4
"2011","North Somerset","E06000024","Total",202566,197076,190553,1113,176,5234,2033,681,256,698,398,2436,817,111,299,619,590,632,383,188,61,389,127,262
"2011","Plymouth","E06000026","Total",256384,246509,238263,1105,153,6988,3287,904,523,1028,832,3906,875,202,359,1251,1219,1678,1106,343,229,1004,399,605
"2011","Poole","E06000029","Total",147645,141523,135698,756,214,4855,1916,491,246,680,499,3276,1098,96,382,698,1002,520,329,119,72,410,127,283
"2011","South Gloucestershire","E06000025","Total",262767,249574,241611,1223,271,6469,3667,1516,396,1016,739,6440,2699,698,238,1312,1493,2218,987,980,251,868,366,502
"2011","Swindon","E06000030","Total",209156,187898,177028,1852,180,8838,4226,1506,568,1163,989,13365,6901,1292,936,954,3282,2861,1718,807,336,806,188,618
"2011","Torbay","E06000027","Total",130959,127699,124162,657,37,2843,1420,440,195,443,342,1353,403,79,99,261,511,251,140,73,38,236,100,136
